iteration,kmeans_silhouette,kmeans_time,firefly_silhouette,firefly_time,hybrid_ga_silhouette,hybrid_ga_time,hybrid_firefly_silhouette,hybrid_firefly_time
1,0.6426686651214015,0.13065648078918457,0.7205413163541263,0.4781832695007324,0.7111058710474881,0.5882875919342041,0.6855316692458048,1.125673770904541
2,0.6923056327805769,0.10285043716430664,0.7205413163541263,0.4519541263580322,0.652982735957184,0.7017037868499756,0.691998569790679,1.0499918460845947
3,0.6435180195644201,0.09027433395385742,0.719909236772132,0.44391846656799316,0.7182410715480771,0.594235897064209,0.6517993415567525,1.0906708240509033
4,0.6426686651214015,0.08577823638916016,0.7202812218172593,0.4263448715209961,0.7111058710474881,0.5748841762542725,0.6159784322632188,1.0621695518493652
5,0.6426686651214015,0.0995638370513916,0.719909236772132,0.42786455154418945,0.5814774484311838,0.5738675594329834,0.6649350245029856,1.0561017990112305
6,0.6426686651214015,0.10551047325134277,0.7172247615631355,0.4632546901702881,0.6517993415567525,0.5797443389892578,0.6929928404652956,1.0779790878295898
7,0.5735962446294252,0.09351134300231934,0.7202982734452318,0.42699742317199707,0.6649350245029856,0.5710711479187012,0.6649350245029856,1.2124934196472168
8,0.6923056327805769,0.12955737113952637,0.719909236772132,0.41512441635131836,0.7111058710474881,0.6008398532867432,0.6918156050063606,1.1563029289245605
9,0.6923056327805769,0.11005020141601562,0.7191169561889088,0.44230151176452637,0.6159784322632188,0.5930731296539307,0.664277581328436,1.0591156482696533
10,0.6923056327805769,0.10146117210388184,0.7205338224396353,0.5097696781158447,0.5814774484311838,0.7028939723968506,0.6861594543067271,1.0441160202026367
11,0.6426686651214015,0.09415125846862793,0.7205413163541263,0.4746427536010742,0.6918156050063606,0.5794949531555176,0.6649350245029856,1.0738575458526611
12,0.6426686651214015,0.11687827110290527,0.7192260930631903,0.5360715389251709,0.6160584513195075,0.7350997924804688,0.5814774484311838,1.4335145950317383
13,0.6426686651214015,0.10834336280822754,0.7207465299053596,0.522857666015625,0.6500362085758165,0.7508299350738525,0.6649350245029856,1.3582770824432373
14,0.6923056327805769,0.1290905475616455,0.7202899999854955,0.5288679599761963,0.5282551211090384,0.7432956695556641,0.6923056327805769,1.3708741664886475
