iteration,kmeans_silhouette,kmeans_time,firefly_silhouette,firefly_time,hybrid_ga_silhouette,hybrid_ga_time,hybrid_firefly_silhouette,hybrid_firefly_time
15,0.652294036914018,0.1352388858795166,0.7203282956772139,0.5225763320922852,0.6510151539460591,0.698004961013794,0.6160911901212124,1.3696575164794922
16,0.6426686651214015,0.13582491874694824,0.7205413163541263,0.5135581493377686,0.6645534563833781,0.7827422618865967,0.7183189208250261,1.3327455520629883
17,0.6923056327805769,0.14053606986999512,0.719909236772132,0.5135746002197266,0.6860908247515735,0.7679469585418701,0.5283000251595817,1.2753098011016846
18,0.6426686651214015,0.14550209045410156,0.7203282956772139,0.5264122486114502,0.7171346580675129,0.74454665184021,0.6922515545197402,1.341346025466919
19,0.6426686651214015,0.11038446426391602,0.7204055194766359,0.5163090229034424,0.6918156050063606,0.7023866176605225,0.6918156050063606,1.295046091079712
20,0.6426686651214015,0.16625308990478516,0.719909236772132,0.6207096576690674,0.6918156050063606,0.8065493106842041,0.6342403198292936,1.3308501243591309
21,0.6426686651214015,0.11784195899963379,0.7205413163541263,0.5287723541259766,0.6159456934615138,0.8151462078094482,0.6522426760021167,1.310035228729248
22,0.5735962446294252,0.1550757884979248,0.7200207892283512,0.6165108680725098,0.6500362085758165,0.8268070220947266,0.7111058710474881,1.5249354839324951
23,0.6426686651214015,0.19112014770507812,0.7192278192195157,0.6271398067474365,0.6517993415567525,0.7388794422149658,0.6921291600956595,1.4195263385772705
24,0.6426686651214015,0.1288597583770752,0.7202148760057413,0.6136994361877441,0.6860908247515735,0.732961893081665,0.6923056327805769,1.2640819549560547
25,0.6426686651214015,0.14198660850524902,0.7202899999854955,0.6160717010498047,0.5814774484311838,0.8136341571807861,0.6860908247515735,1.347839117050171
26,0.652294036914018,0.12543129920959473,0.7203751980285394,0.5328247547149658,0.6855316692458048,0.6835975646972656,0.6510151539460591,1.294135570526123
27,0.652294036914018,0.1318676471710205,0.719492121670171,0.5990419387817383,0.6922515545197402,0.7441534996032715,0.6918156050063606,1.3717589378356934
28,0.6923056327805769,0.10621953010559082,0.7202215053507273,0.5159339904785156,0.6922515545197402,0.6860616207122803,0.6923793627410392,1.2807526588439941
29,0.580511678139738,0.1213221549987793,0.7205413163541263,0.5803484916687012,0.7111058710474881,0.747988224029541,0.652982735957184,1.389829397201538
30,0.6426686651214015,0.1569194793701172,0.7201224267605785,0.5588874816894531,0.7111058710474881,0.7600681781768799,0.6861594543067271,1.4543876647949219
31,0.5735962446294252,0.18966126441955566,0.719909236772132,0.7208461761474609,0.6649350245029856,0.8186156749725342,0.6929928404652956,1.5054452419281006
32,0.6426686651214015,0.14664721488952637,0.7202899999854955,0.7962205410003662,0.7189540576058072,0.7934942245483398,0.6342730586309984,1.5246870517730713
33,0.652294036914018,0.14391493797302246,0.7190983401519393,0.5965292453765869,0.6160584513195075,0.7480249404907227,0.6649350245029856,1.3445351123809814
34,0.6426686651214015,0.10740900039672852,0.7205413163541263,0.5596823692321777,0.577387667370742,0.6923997402191162,0.7111058710474881,1.3421616554260254
35,0.6923056327805769,0.10883569717407227,0.7198687256608471,0.49664306640625,0.6650961549528321,0.6983921527862549,0.6860908247515735,1.2885301113128662
36,0.6426686651214015,0.11905765533447266,0.7192335187246336,0.5324227809906006,0.691998569790679,0.739677906036377,0.577387667370742,1.3982667922973633
37,0.6426686651214015,0.1197664737701416,0.7205366484127009,0.501265287399292,0.5814447096294788,0.7026958465576172,0.5814447096294788,1.284125804901123
38,0.6426686651214015,0.12720656394958496,0.719909236772132,0.5981860160827637,0.6649350245029856,0.7995615005493164,0.7111058710474881,1.3172297477722168
39,0.6435180195644201,0.08959794044494629,0.7199436876284034,0.5809988975524902,0.6160911901212124,0.7104380130767822,0.7171346580675129,1.2561402320861816
40,0.580511678139738,0.14180302619934082,0.7192278192195157,0.6170253753662109,0.5814774484311838,0.7730677127838135,0.6925585535866123,1.2844343185424805
41,0.6426686651214015,0.1367959976196289,0.7192278192195157,0.5594015121459961,0.7111058710474881,0.6979513168334961,0.6863809667159925,1.3185842037200928
42,0.6426686651214015,0.1309833526611328,0.7202812218172593,0.5605330467224121,0.7171346580675129,0.7227206230163574,0.6921291600956595,1.3364861011505127
43,0.6923056327805769,0.1452171802520752,0.7205413163541263,0.5320925712585449,0.6500362085758165,0.73580002784729,0.652982735957184,1.325212001800537
44,0.6923056327805769,0.12602782249450684,0.7192278192195157,0.5474998950958252,0.6517993415567525,0.7435564994812012,0.6918156050063606,1.2398278713226318
45,0.6426686651214015,0.13692545890808105,0.6929674154675713,0.5003161430358887,0.6342403198292936,0.7416441440582275,0.5814447096294788,1.3293814659118652
46,0.6426686651214015,0.15912532806396484,0.7205413163541263,0.8119649887084961,0.6649350245029856,0.8556489944458008,0.6160584513195075,1.7264251708984375
47,0.6435180195644201,0.17010235786437988,0.7202148760057413,0.6104695796966553,0.5814447096294788,0.8394386768341064,0.6649350245029856,1.373267650604248
48,0.6426686651214015,0.11496281623840332,0.7200028178738648,0.5682601928710938,0.5282551211090384,0.799182653427124,0.6855316692458048,1.3425004482269287
49,0.6426686651214015,0.11607217788696289,0.7192278192195157,0.582059383392334,0.6646892488858491,0.8315072059631348,0.5762960333243868,1.3887465000152588
50,0.6426686651214015,0.14827251434326172,0.7203622997230477,0.6724014282226562,0.6855316692458048,0.7495691776275635,0.5814447096294788,1.3724255561828613
